Id;LastName;FirstName;FullName;Department
1;Krüger;Thomas;Krüger, Thomas;Elektroinstallation
2;Weber;Sandra;Weber, Sandra;Schaltanlagenbau
3;Yilmaz;Emre;Yilmaz, Emre;Elektroinstallation
4;Hoffmann;Lukas;Hoffmann, Lukas;Kundendienst
5;Bauer;Nadine;Bauer, Nadine;Bauleitung
6;Schneider;Michael;Schneider, Michael;Elektroinstallation
7;Petrova;Irina;Petrova, Irina;Kundendienst
8;Wagner;Jonas;Wagner, Jonas;Lager
9;Fischer;Daniel;Fischer, Daniel;Elektroinstallation
10;Becker;Stefan;Becker, Stefan;Elektroinstallation
11;Hofmann;Andreas;Hofmann, Andreas;Elektroinstallation
12;Richter;Kevin;Richter, Kevin;Elektroinstallation
13;Klein;Marco;Klein, Marco;Elektroinstallation
14;Wolf;Sebastian;Wolf, Sebastian;Elektroinstallation
15;Neumann;Patrick;Neumann, Patrick;Elektroinstallation
16;Schwarz;Tobias;Schwarz, Tobias;Elektroinstallation
17;Zimmermann;Florian;Zimmermann, Florian;Elektroinstallation
18;Braun;Dennis;Braun, Dennis;Elektroinstallation
19;Hartmann;Christian;Hartmann, Christian;Elektroinstallation
20;Lange;Maximilian;Lange, Maximilian;Elektroinstallation
21;Schmitt;Julian;Schmitt, Julian;Elektroinstallation
22;Werner;Fabian;Werner, Fabian;Elektroinstallation
23;Krause;Niklas;Krause, Niklas;Elektroinstallation
24;Meier;Simon;Meier, Simon;Elektroinstallation
25;Lehmann;Erik;Lehmann, Erik;Elektroinstallation
26;Köhler;Pascal;Köhler, Pascal;Elektroinstallation
27;Herrmann;Benjamin;Herrmann, Benjamin;Elektroinstallation
28;Walter;Marcel;Walter, Marcel;Elektroinstallation
29;Nowak;Piotr;Nowak, Piotr;Elektroinstallation
30;Kaya;Murat;Kaya, Murat;Elektroinstallation
31;Vogel;Dominik;Vogel, Dominik;Elektroinstallation
32;Frank;Alexander;Frank, Alexander;Elektroinstallation
33;Berger;Timo;Berger, Timo;Elektroinstallation
34;Roth;Sven;Roth, Sven;Lager
35;Beck;Nico;Beck, Nico;Verwaltung
36;Sommer;Katrin;Sommer, Katrin;Schaltanlagenbau
37;Winkler;Ralf;Winkler, Ralf;Schaltanlagenbau
38;Busch;Oliver;Busch, Oliver;Schaltanlagenbau
39;Seidel;Martin;Seidel, Martin;Schaltanlagenbau
40;Haas;Jennifer;Haas, Jennifer;Kundendienst
41;Peters;Carsten;Peters, Carsten;Kundendienst
42;Brandt;Ulrike;Brandt, Ulrike;Bauleitung
43;Engel;Holger;Engel, Holger;Bauleitung
44;Schulz;Petra;Schulz, Petra;Verwaltung
45;Brandt;Reinhard;Brandt, Reinhard;Geschäftsführung
